Year,Rank,G,G Home,W,L,LGWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IP,HA,HRA,BBA,SOA,E,DP,FP,BPF,PPF
2017,1,162,8,104,58,Y,N,770,5408,1347,312,20,221,649,1380,77,28,6,3,580,543,3.38,2,16,51,4334,1226,184,442,1549,88,131,0.985,97,96
2016,1,162,8,91,71,N,N,725,5518,1376,272,21,189,525,1321,45,26,5,3,638,598,3.7,3,15,47,4359,1266,165,464,1510,80,101,0.986,93,92
2015,1,162,8,92,70,N,N,667,5385,1346,263,26,187,563,1258,59,34,6,3,595,553,3.44,6,21,47,4337,1317,145,395,1396,75,133,0.988,101,98
2014,1,162,8,94,68,N,N,718,5560,1476,302,38,134,519,1246,138,50,6,4,617,554,3.4,7,16,47,4394,1338,142,429,1373,107,145,0.983,96,95
2013,1,162,8,92,70,N,N,649,5491,1447,281,17,138,476,1146,78,28,5,4,582,524,3.25,7,22,46,4351,1321,127,460,1292,109,160,0.982,95,95
2012,2,162,8,86,76,N,N,637,5438,1369,269,23,116,481,1156,104,44,5,3,597,538,3.34,2,10,40,4349,1277,122,539,1276,98,138,0.984,96,96
2011,3,161,8,82,79,N,N,644,5436,1395,237,28,117,498,1087,126,40,4,4,612,563,3.54,7,17,40,4296,1287,132,507,1265,85,121,0.986,98,98
2010,4,162,8,80,82,N,N,667,5426,1368,270,29,120,533,1184,92,50,4,5,692,643,4.01,4,16,41,4325,1323,134,539,1274,98,124,0.984,95,95
2009,1,162,8,95,67,N,N,780,5592,1511,278,39,145,607,1068,116,48,6,4,611,558,3.41,1,9,44,4420,1265,127,584,1272,83,134,0.986,96,95
2008,1,162,8,84,78,N,N,700,5506,1455,271,29,137,543,1032,126,43,4,3,648,591,3.68,5,11,35,4342,1381,123,480,1205,101,138,0.984,98,97
2007,4,162,8,82,80,N,N,735,5614,1544,276,35,129,511,864,137,50,4,5,727,677,4.2,4,6,43,4350,1443,146,518,1184,114,160,0.981,101,100
2006,2,162,8,88,74,N,N,820,5628,1552,307,58,153,601,959,128,49,5,4,751,686,4.23,1,10,40,4381,1524,152,492,1068,115,174,0.982,101,100
2005,4,162,8,71,91,N,N,685,5433,1374,284,21,149,541,1094,58,35,6,3,755,695,4.38,6,9,40,4282,1434,182,471,1004,106,141,0.983,98,97
2004,1,162,8,93,69,N,N,761,5542,1450,226,30,203,536,1092,102,41,6,3,684,647,4.01,2,6,51,4360,1386,178,521,1066,73,145,0.988,95,95
2003,2,162,8,85,77,N,N,574,5458,1328,260,25,124,407,985,80,36,7,2,556,511,3.16,3,17,58,4373,1254,127,526,1289,119,164,0.981,94,94
2002,3,162,8,92,70,N,N,713,5554,1464,286,29,155,428,940,96,37,5,4,643,598,3.69,4,15,56,4373,1311,165,555,1132,90,134,0.985,92,92
2001,3,162,8,86,76,N,N,758,5493,1399,264,27,206,519,1062,89,42,5,4,744,685,4.25,3,5,46,4352,1387,184,524,1212,116,138,0.981,92,91
2000,2,162,8,86,76,N,N,798,5481,1408,265,28,211,668,1083,95,42,5,4,729,659,4.1,9,11,36,4335,1379,176,600,1154,135,151,0.978,94,94
1999,3,162,8,77,85,N,N,793,5567,1480,253,23,187,594,1030,167,68,5,5,787,718,4.45,8,6,37,4359,1438,192,594,1077,137,137,0.978,95,94
1998,3,162,8,83,79,N,N,669,5459,1374,209,27,159,447,1056,137,53,3,4,678,612,3.81,16,10,47,4342,1332,135,587,1178,134,154,0.978,95,95
1997,2,162,8,88,74,N,N,742,5544,1488,242,33,174,498,1079,131,64,3,3,645,587,3.62,6,6,45,4378,1325,163,546,1232,116,104,0.981,93,92
1996,2,162,8,90,72,N,N,703,5538,1396,215,33,150,516,1190,124,40,2,3,652,564,3.46,6,9,50,4399,1378,125,534,1212,125,143,0.98,93,92
1995,1,144,7,78,66,N,N,634,4942,1303,191,31,140,468,1023,127,45,3,3,609,526,3.66,16,11,37,3885,1188,125,462,1060,130,120,0.976,91,91
1994,1,114,5,58,56,,,532,3904,1055,160,29,115,366,687,74,37,1,3,509,470,4.17,14,5,20,3042,1041,90,354,732,88,104,0.98,94,94
1993,4,162,8,81,81,N,N,675,5588,1458,234,28,130,492,937,126,61,2,4,662,573,3.5,17,9,36,4418,1406,103,567,1043,133,141,0.979,95,95
1992,6,162,8,63,99,N,N,548,5368,1333,201,34,72,503,899,142,78,2,4,636,545,3.41,18,13,29,4314,1401,82,553,981,174,136,0.972,99,99
1991,2,162,8,93,69,N,N,665,5408,1366,191,29,108,583,957,126,68,2,4,565,496,3.06,15,14,40,4374,1312,96,500,1028,123,126,0.98,98,97
1990,2,162,8,86,76,N,N,728,5491,1436,222,27,129,538,952,141,65,3,4,685,596,3.72,29,12,29,4326,1364,137,478,1021,130,123,0.979,98,97
1989,4,160,8,77,83,N,N,554,5465,1313,241,17,89,507,885,81,54,2,4,536,479,2.95,25,19,36,4390,1278,95,504,1052,118,153,0.981,99,98
1988,1,162,8,94,67,Y,Y,628,5431,1346,217,25,99,437,947,131,46,3,5,544,482,2.96,32,24,49,4390,1291,84,473,1029,142,126,0.977,98,97
1987,4,162,8,73,89,N,N,635,5517,1389,236,23,125,445,923,128,59,3,3,675,601,3.72,29,8,32,4365,1415,130,565,1097,155,144,0.975,98,98
1986,5,162,8,73,89,N,N,638,5471,1373,232,14,130,478,966,155,67,3,3,679,608,3.76,35,14,25,4363,1428,115,499,1051,181,118,0.971,93,93
1985,1,162,8,95,67,N,N,682,5502,1434,226,28,129,539,846,136,58,3,4,579,482,2.96,37,21,36,4395,1280,102,462,979,166,131,0.974,97,96
1984,4,162,8,79,83,N,N,580,5399,1316,213,23,102,488,829,109,69,1,4,600,514,3.17,39,16,27,4382,1381,76,499,1033,163,146,0.975,98,98
1983,1,163,8,91,71,N,N,654,5440,1358,197,34,146,541,925,166,76,2,4,609,505,3.1,27,12,40,4392,1336,97,495,1000,168,132,0.974,99,99
1982,2,162,8,88,74,N,N,691,5642,1487,222,32,138,528,804,151,56,3,5,612,539,3.26,37,16,28,4465,1356,81,468,932,139,131,0.979,98,97
1981,2,110,5,63,47,Y,Y,450,3751,984,133,20,82,331,550,73,46,1,2,356,333,3.01,26,19,24,2991,904,54,302,603,87,101,0.98,97,96
1980,2,163,8,92,71,N,N,663,5568,1462,209,24,148,492,846,123,72,2,4,591,531,3.25,24,19,42,4418,1358,105,480,835,123,149,0.981,99,98
1979,3,162,8,79,83,N,N,739,5490,1443,220,24,183,556,834,106,46,2,3,717,614,3.83,30,6,34,4332,1425,101,555,811,118,123,0.981,99,98
1978,1,162,8,95,67,Y,N,727,5437,1435,251,27,149,610,818,137,52,2,4,573,499,3.12,46,16,38,4321,1362,107,440,800,140,138,0.978,100,98
1977,1,162,8,98,64,Y,N,769,5589,1484,223,28,191,588,896,114,62,2,4,582,528,3.22,34,13,39,4426,1393,119,438,930,124,160,0.981,100,98
1976,2,162,8,92,70,N,N,608,5472,1371,200,34,91,486,744,144,55,2,4,543,493,3.02,47,17,28,4412,1330,97,479,747,128,154,0.98,98,97
1975,2,162,8,88,74,N,N,648,5453,1355,217,31,118,611,825,138,52,3,4,534,477,2.92,51,18,21,4409,1215,104,448,894,127,106,0.979,96,94
1974,1,162,8,102,60,Y,N,798,5557,1511,231,34,139,597,820,149,75,2,6,561,484,2.97,33,19,23,4396,1272,112,464,943,157,122,0.975,96,94
1973,2,162,8,95,66,N,N,675,5604,1473,219,29,110,497,795,109,50,2,5,565,497,3,45,15,38,4473,1270,129,461,961,125,166,0.981,97,95
1972,2,155,7,85,70,N,N,584,5270,1349,178,39,98,480,786,82,39,2,4,527,434,2.78,50,23,29,4209,1196,83,429,856,162,145,0.974,98,97
1971,2,162,8,89,73,N,N,663,5523,1469,213,38,95,489,755,76,40,2,5,587,521,3.23,48,18,33,4349,1363,110,399,853,131,159,0.979,94,93
1970,2,161,8,87,74,N,N,749,5606,1515,233,67,87,541,841,138,57,2,5,684,619,3.82,37,17,42,4376,1394,164,496,880,135,135,0.978,95,94
1969,4,162,8,85,77,N,N,645,5532,1405,185,52,97,484,823,80,51,,,561,499,3.08,47,20,31,4371,1324,122,420,975,109,130,0.981,93,92
1968,7,162,8,76,86,N,N,470,5354,1234,202,36,67,439,980,57,43,,,509,433,2.69,38,23,31,4344,1293,65,414,994,144,144,0.977,92,92
1967,8,162,8,73,89,N,N,519,5456,1285,203,38,82,485,881,56,47,,,595,525,3.21,41,17,24,4419,1421,93,393,967,160,144,0.975,91,91
1966,1,162,8,95,67,Y,N,606,5471,1399,201,27,108,430,830,94,64,,,490,424,2.62,52,20,35,4374,1287,84,356,1084,133,128,0.979,92,91
1965,1,162,8,97,65,Y,Y,608,5425,1329,193,32,78,492,891,172,77,,,521,461,2.81,58,23,34,4428,1223,127,425,1079,134,135,0.979,93,92
1964,6,164,8,80,82,N,N,614,5499,1375,180,39,79,438,893,141,60,,,572,486,2.95,47,19,27,4449,1289,88,458,1062,170,126,0.973,93,92
1963,1,163,8,99,63,Y,Y,640,5428,1361,178,34,110,453,867,124,70,,,550,465,2.85,51,24,29,4407,1329,111,402,1095,158,129,0.975,93,91
1962,2,165,8,102,63,N,N,842,5628,1510,192,65,140,572,886,198,43,,,697,599,3.62,44,8,46,4464,1386,115,588,1104,191,144,0.97,93,91
1961,2,154,7,89,65,N,N,735,5189,1358,193,40,157,596,796,86,45,,,697,619,4.04,40,10,35,4134,1346,167,544,1105,136,162,0.976,108,107
1960,4,154,7,82,72,N,N,662,5227,1333,216,38,126,529,837,95,53,,,593,528,3.4,46,13,20,4194,1218,154,564,1122,124,142,0.979,106,105
1959,1,156,7,88,68,Y,Y,705,5282,1360,196,46,148,591,891,84,51,,,670,594,3.79,43,14,26,4233,1317,157,614,1077,114,154,0.981,107,107
1958,7,154,7,71,83,N,N,668,5173,1297,166,50,172,495,850,73,47,,,761,679,4.47,30,7,31,4104,1399,173,606,855,145,198,0.975,104,104
